eta,customer_name,customer_part_no,quantity,time_idx,2_mean,3_mean,4_mean,5_mean,7_mean,14_mean,28_mean,2_max,2_min,4_max,4_min,7_max,7_min,lag
2022/11/13,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,1020000,12,860000,826666.6667,815000,730000,544285.7143,492142.8571,482500,1020000,700000,1020000,700000,1020000,20000,700000
2022/11/14,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,20000,13,520000,580000,625000,656000,544285.7143,493571.4286,483214.2857,1020000,20000,1020000,20000,1020000,20000,1020000
2022/11/15,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/11/16,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/11/17,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/11/18,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/11/19,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/11/20,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/11/21,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/11/22,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/11/23,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/11/24,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/11/25,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/11/26,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/11/27,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/11/28,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
