,index,customer_name,customer_part_no,site_db,eta,quantity,time_idx
526,526,b44d54cbf91dca39e00e2037dcc8a5c6,fedb15bb1f7fc84974b7092f9f411fb3,EVMI2ZZ,2022/7/18,600000,7
527,527,b44d54cbf91dca39e00e2037dcc8a5c6,fedb15bb1f7fc84974b7092f9f411fb3,EVMI2ZZ,2022/8/15,910000,8
528,528,b44d54cbf91dca39e00e2037dcc8a5c6,fedb15bb1f7fc84974b7092f9f411fb3,EVMI2ZZ,2022/9/12,1200000,9
529,529,b44d54cbf91dca39e00e2037dcc8a5c6,fedb15bb1f7fc84974b7092f9f411fb3,EVMI2ZZ,2022/10/10,1204000,10
530,530,b44d54cbf91dca39e00e2037dcc8a5c6,fedb15bb1f7fc84974b7092f9f411fb3,EVMI2ZZ,2022/11/7,500000,11
531,531,b44d54cbf91dca39e00e2037dcc8a5c6,fedb15bb1f7fc84974b7092f9f411fb3,EVMI2ZZ,2022/12/5,414000,12
532,532,b44d54cbf91dca39e00e2037dcc8a5c6,fedb15bb1f7fc84974b7092f9f411fb3,EVMI2ZZ,2023/1/2,50000,13
533,533,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1af25cc5c51054204a598f62eb349bf1,EVMI2CD,2022/5/30,62,0
534,534,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1af25cc5c51054204a598f62eb349bf1,EVMI2CD,2022/6/27,292,1
535,535,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1af25cc5c51054204a598f62eb349bf1,EVMI2CD,2022/7/25,826,2
536,536,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1af25cc5c51054204a598f62eb349bf1,EVMI2CD,2022/8/22,1236,3
537,537,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1af25cc5c51054204a598f62eb349bf1,EVMI2CD,2022/9/19,49072,4
538,538,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1af25cc5c51054204a598f62eb349bf1,EVMI2CD,2022/10/17,109201,5
539,539,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1af25cc5c51054204a598f62eb349bf1,EVMI2CD,2022/11/14,187954,6
540,540,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1af25cc5c51054204a598f62eb349bf1,EVMI2CD,2022/12/12,136890,7
541,541,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1af25cc5c51054204a598f62eb349bf1,EVMI2CD,2023/1/9,95850,8
542,542,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1c97ee18974b2e36d76af820df2f61b8,EVMI2CD,2022/1/10,5262,0
543,543,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1c97ee18974b2e36d76af820df2f61b8,EVMI2CD,2022/2/7,10010,1
544,544,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1c97ee18974b2e36d76af820df2f61b8,EVMI2CD,2022/3/7,32280,2
545,545,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1c97ee18974b2e36d76af820df2f61b8,EVMI2CD,2022/4/4,53936,3
546,546,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1c97ee18974b2e36d76af820df2f61b8,EVMI2CD,2022/5/2,20721,4
547,547,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1c97ee18974b2e36d76af820df2f61b8,EVMI2CD,2022/5/30,8120,5
548,548,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1c97ee18974b2e36d76af820df2f61b8,EVMI2CD,2022/6/27,36727,6
549,549,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1c97ee18974b2e36d76af820df2f61b8,EVMI2CD,2022/7/25,26823,7
550,550,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1c97ee18974b2e36d76af820df2f61b8,EVMI2CD,2022/8/22,11436,8
551,551,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1c97ee18974b2e36d76af820df2f61b8,EVMI2CD,2022/9/19,13532,9
552,552,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1c97ee18974b2e36d76af820df2f61b8,EVMI2CD,2022/10/17,25835,10
553,553,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1c97ee18974b2e36d76af820df2f61b8,EVMI2CD,2022/11/14,23282,11
554,554,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1c97ee18974b2e36d76af820df2f61b8,EVMI2CD,2022/12/12,23520,12
555,555,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,1c97ee18974b2e36d76af820df2f61b8,EVMI2CD,2023/1/9,3485,13
556,556,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2424132724b8f4a645c5e61476316993,EVMI2CD,2022/2/28,300,0
557,557,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2424132724b8f4a645c5e61476316993,EVMI2CD,2022/3/28,6717,1
558,558,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2424132724b8f4a645c5e61476316993,EVMI2CD,2022/4/25,1796,2
559,559,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2424132724b8f4a645c5e61476316993,EVMI2CD,2022/5/23,528,3
560,560,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2424132724b8f4a645c5e61476316993,EVMI2CD,2022/6/20,789,4
561,561,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2424132724b8f4a645c5e61476316993,EVMI2CD,2022/7/18,587,5
562,562,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2424132724b8f4a645c5e61476316993,EVMI2CD,2022/8/15,1314,6
